;idade;flag_aceito;sexo;departamento
0;37.79881780776924;0;M;A
1;42.188623597829285;0;M;A
2;39.7032094944867;0;M;A
3;32.216174802603206;0;M;A
4;42.772410463822226;0;M;A
5;42.70282070703464;0;M;A
6;33.84141734893659;0;M;A
7;36.54718670153136;0;M;A
8;30.58762512667684;1;M;A
9;31.07488684538405;0;M;A
10;38.780291987019545;0;M;A
11;36.73816576050887;1;M;A
12;29.21294251561318;0;M;A
13;43.47114972437419;0;M;A
14;32.86579356680426;0;M;A
15;41.558203672121245;0;M;A
16;39.836687322585874;0;M;A
17;50.03878133991284;1;M;A
18;48.72344857173036;1;M;A
19;31.20411979757338;1;M;A
20;36.184282373186505;1;M;A
21;42.1983829349385;0;M;A
22;40.378243249324235;1;M;A
23;35.82393714218205;0;M;A
24;38.407875329088874;0;M;A
25;41.416686567955665;0;M;A
26;30.983340908173016;0;M;A
27;37.175538827714334;0;M;A
28;26.213703825269555;1;M;A
29;43.28531715451574;1;M;A
30;27.96454804262283;1;M;A
31;33.622600259518045;1;M;A
32;35.067657093699346;1;M;A
33;30.048567914151803;1;M;A
34;36.66865877930446;1;M;A
35;36.912346996276064;0;M;A
36;37.03235825622107;0;M;A
37;34.76653123491638;0;M;A
38;37.52949146118069;1;M;A
39;29.63404485917994;0;M;A
40;41.112025092972786;1;M;A
41;40.95252520251499;1;M;A
42;41.91619650390007;0;M;A
43;39.13550265299126;0;M;A
44;39.07803237911407;1;M;A
45;42.511273065805526;1;M;A
46;40.17483878483979;1;M;A
47;37.364854332425836;1;M;A
48;36.754518191120155;0;M;A
49;40.87061553650593;1;M;A
50;32.70426920924182;1;M;A
51;31.78819108578672;1;M;A
52;40.917962523078685;1;M;A
53;35.08552666225414;1;M;A
54;32.12426551347621;1;M;A
55;37.21442908445053;1;M;A
56;33.28695759064739;1;M;A
57;37.515014663686536;1;M;A
58;44.884553057374134;1;M;A
59;34.48024659877725;1;M;A
60;41.694925888994426;1;M;A
61;24.440855936965985;1;M;A
62;33.63293815964759;1;M;A
63;41.721814834919634;0;M;A
64;32.41976300925313;0;M;A
65;39.38366247033231;0;M;A
66;37.381963661077805;0;M;A
67;31.942129818093285;1;M;A
68;46.65490188494097;0;M;A
69;37.83318465269451;1;M;A
70;45.01791605160194;1;M;A
71;38.069567907928366;1;M;A
72;40.88231069089801;1;M;A
73;31.364760796008177;0;M;A
74;30.491799748736454;1;M;A
75;40.71850031524792;1;M;A
76;40.48707327239752;1;M;A
77;30.731983629489143;1;M;A
78;35.112812007897965;1;M;A
79;39.930195700064225;1;M;A
80;40.40072878813017;1;M;A
81;41.91522436720584;0;M;A
82;39.07157314106891;0;M;A
83;31.470241239138055;0;M;A
84;35.23354220090562;0;M;A
85;45.04160307513597;0;M;A
86;27.983835658555275;1;M;A
87;36.3890651508546;0;M;A
88;41.34942226966308;1;M;A
89;40.4040385298789;1;M;A
90;41.42858780996558;1;M;A
91;32.447456416450855;0;M;A
92;36.65792025087229;0;M;A
93;35.58498506428026;1;M;A
94;42.946543481532224;1;M;A
95;32.38054016994989;1;M;A
96;23.88294537249587;1;M;A
97;35.615718636227584;0;M;A
98;37.527721698489295;0;M;A
99;49.97571544729588;1;M;A
100;31.55939409357079;1;M;A
101;32.83203013675288;0;M;A
102;39.4801401901977;1;M;A
103;36.91944642162544;0;M;A
104;40.64948340803838;1;M;A
105;34.46073575095909;0;M;A
106;35.5315634764142;0;M;A
107;47.75027000118001;1;M;A
108;41.35835726774891;1;M;A
109;33.2763988561282;1;M;A
110;31.514534406619532;0;M;A
111;29.899152338298155;0;M;A
112;38.49971157806166;1;M;A
113;45.24175227543371;1;M;A
114;39.5236693566804;0;M;A
115;45.65565440897571;1;M;A
116;30.67496074964719;0;M;A
117;39.67806984157279;1;M;A
118;44.22823264128394;1;M;A
119;43.852370612975555;1;M;A
120;43.80779667463501;0;M;A
121;36.595382457124686;1;M;A
122;37.93539419518924;0;M;A
123;39.61487844823292;1;M;A
124;38.54751522627314;1;M;A
125;42.066331478610756;1;M;A
126;42.22324653714796;0;M;A
127;38.9154893875744;1;M;A
128;35.163549384877804;1;M;A
129;38.720211953305395;1;M;A
130;39.21851378577022;0;M;A
131;34.104859795600944;1;M;A
132;38.31626830098048;1;M;A
133;40.23209976097143;0;M;A
134;38.52511426522246;0;M;A
135;33.99565774728056;1;M;A
136;35.00432185409123;1;M;A
137;31.032236427493725;1;M;A
138;46.29514839520466;1;M;A
139;33.924114335562294;1;M;A
140;35.554507553853426;0;M;A
141;36.61528288821968;1;M;A
142;34.76626184667491;0;M;A
143;33.477186768276084;1;M;A
144;36.7186447065477;1;M;A
145;33.93825399417608;0;M;A
146;29.60290504286166;1;M;A
147;39.455844117200186;0;M;A
148;35.310842778581716;1;M;A
149;43.50183188566413;1;M;A
150;41.655740251084396;0;M;A
151;39.805645594958115;1;M;A
152;41.79576188307001;0;M;A
153;42.486091961034305;1;M;A
154;38.51950042258353;1;M;A
155;39.27742192620416;0;M;A
156;41.614493825260645;0;M;A
157;45.08886478703643;0;M;A
158;37.209565124619154;0;M;A
159;41.26777476255389;1;M;A
160;46.77402674024886;1;M;A
161;40.297336762616766;1;M;A
162;42.504378038878144;0;M;A
163;36.12593203534861;1;M;A
164;40.75107034384762;1;M;A
165;49.60935886825312;1;M;A
166;34.849068625452496;1;M;A
